0RPM	0RPM	0RPM	100RPM	100RPM	100RPM	400RPM	400RPM	400RPM	900RPM	900RPM	900RPM	1600RPM	1600RPM	1600RPM	2500RPM	2500RPM	2500RPM
0.285645	-5.16052E-5	1.30615E-7	0.285645	-5.35889E-5	4.18396E-6	0.285645	-5.40161E-5	4.50745E-6	0.285645	-6.01196E-5	9.84802E-6	0.285645	-7.10449E-5	1.48499E-5	0.285645	-7.75146E-5	1.69891E-5
0.283203	-5.50537E-5	3.50342E-7	0.283203	-5.7373E-5	5.08423E-6	0.283203	-5.80139E-5	5.52368E-6	0.283203	-6.52771E-5	9.68933E-6	0.283203	-7.66602E-5	1.58508E-5	0.283203	-8.32825E-5	1.86523E-5
0.280762	-5.92041E-5	8.79211E-8	0.280762	-6.18896E-5	4.75464E-6	0.280762	-6.23779E-5	5.2002E-6	0.280762	-6.98242E-5	1.09772E-5	0.280762	-8.28552E-5	1.6864E-5	0.280762	-8.94775E-5	1.9339E-5
0.27832	-6.31104E-5	3.80554E-7	0.27832	-6.63757E-5	5.70679E-6	0.27832	-6.71082E-5	6.1554E-6	0.27832	-7.51953E-5	1.09863E-5	0.27832	-8.84094E-5	1.76331E-5	0.27832	-9.61304E-5	2.10846E-5
0.275879	-6.75964E-5	7.08313E-8	0.275879	-7.10754E-5	5.40771E-6	0.275879	-7.16553E-5	6.01501E-6	0.275879	-8.06885E-5	1.25E-5	0.275879	-9.56726E-5	1.9165E-5	0.275879	-1.02631E-4	2.18109E-5
0.273438	-7.19604E-5	3.77808E-7	0.273438	-7.62329E-5	6.28967E-6	0.273438	-7.7179E-5	6.86035E-6	0.273438	-8.63647E-5	1.2735E-5	0.273438	-1.01776E-4	2.02148E-5	0.273438	-1.10229E-4	2.34711E-5
0.270996	-7.66907E-5	6.35681E-8	0.270996	-8.10547E-5	6.32935E-6	0.270996	-8.17261E-5	7.00989E-6	0.270996	-9.24072E-5	1.3913E-5	0.270996	-1.09283E-4	2.10114E-5	0.270996	-1.17126E-4	2.47955E-5
0.268555	-8.15125E-5	3.58582E-7	0.268555	-8.70056E-5	7.1228E-6	0.268555	-8.79517E-5	7.57141E-6	0.268555	-9.82971E-5	1.45721E-5	0.268555	-1.1554E-4	2.22778E-5	0.268555	-1.25397E-4	2.57416E-5
0.266113	-8.65173E-5	1.09772E-7	0.266113	-9.20715E-5	7.57446E-6	0.266113	-9.28345E-5	8.29163E-6	0.266113	-1.05499E-4	1.59271E-5	0.266113	-1.23566E-4	2.32819E-5	0.266113	-1.3269E-4	2.77161E-5
0.263672	-9.18884E-5	3.0365E-7	0.263672	-9.86938E-5	8.1665E-6	0.263672	-9.96094E-5	8.60291E-6	0.263672	-1.11328E-4	1.65527E-5	0.263672	-1.31073E-4	2.55981E-5	0.263672	-1.41632E-4	2.86469E-5
0.26123	-9.69543E-5	1.77612E-7	0.26123	-1.03821E-4	8.79211E-6	0.26123	-1.04828E-4	9.58557E-6	0.26123	-1.1911E-4	1.76697E-5	0.26123	-1.38916E-4	2.57324E-5	0.26123	-1.49353E-4	3.06366E-5
0.258789	-1.02814E-4	2.28424E-7	0.258789	-1.10809E-4	8.97217E-6	0.258789	-1.11938E-4	9.729E-6	0.258789	-1.25427E-4	1.90063E-5	0.258789	-1.47308E-4	2.85339E-5	0.258789	-1.58752E-4	3.1665E-5
0.256348	-1.08124E-4	2.45758E-7	0.256348	-1.16486E-4	9.87244E-6	0.256348	-1.17767E-4	1.08307E-5	0.256348	-1.33606E-4	1.96442E-5	0.256348	-1.55701E-4	2.92847E-5	0.256348	-1.67297E-4	3.38684E-5
