Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs
689,9520874	9,111956388E-6	689,9520874	0,003149131546	689,9520874	0,004382555839	689,9520874	0,00585464621	689,9520874	0,004020758905	689,9520874	0,002864336595	689,9520874	0,002263116883	689,9520874	0,003146393923
688,9412231	8,211280219E-4	688,9412231	0,00365748792	688,9412231	0,004637657199	688,9412231	0,006119303871	688,9412231	0,004561552778	688,9412231	0,003463806584	688,9412231	0,002743083052	688,9412231	0,00347317406
687,9300537	2,651791438E-4	687,9300537	0,003326968988	687,9300537	0,004382555839	687,9300537	0,006099430844	687,9300537	0,003998995759	687,9300537	0,003102226416	687,9300537	0,002449963475	687,9300537	0,003191608936
687,0630493	3,322440316E-4	687,0630493	0,003297624411	687,0630493	0,004672273062	687,0630493	0,00602204632	687,0630493	0,004459883552	687,0630493	0,003072766587	687,0630493	0,002518798457	687,0630493	0,002835726598
686,0512695	4,87162295E-4	686,0512695	0,003487186739	686,0512695	0,004740074743	686,0512695	0,006161311176	686,0512695	0,004380097613	686,0512695	0,003219381673	686,0512695	0,002639442449	686,0512695	0,003280774923
685,0391235	4,504163517E-4	685,0391235	0,003479280276	685,0391235	0,004533328116	685,0391235	0,005890488159	685,0391235	0,00425049942	685,0391235	0,002814752515	685,0391235	0,002801621333	685,0391235	0,002912858035
684,0266724	6,276444183E-4	684,0266724	0,003539901227	684,0266724	0,004442021251	684,0266724	0,006430333015	684,0266724	0,004337948747	684,0266724	0,003323708428	684,0266724	0,002836299827	684,0266724	0,003100114642
683,013916	3,374770167E-4	683,013916	0,003399152309	683,013916	0,004059872124	683,013916	0,005946171936	683,013916	0,004324039444	683,013916	0,00321119302	683,013916	0,00217774976	683,013916	0,002852220088
682,0007935	5,537430989E-4	682,0007935	0,003263587132	682,0007935	0,004484232981	682,0007935	0,006100795697	682,0007935	0,004257557448	682,0007935	0,002986614592	682,0007935	0,002520204522	682,0007935	0,003065701807
680,9874268	3,593941219E-4	680,9874268	0,003554411931	680,9874268	0,004405566957	680,9874268	0,006307239179	680,9874268	0,004247310571	680,9874268	0,0032884432	680,9874268	0,002628400223	680,9874268	0,00302365399
679,9736328	3,776592202E-4	679,9736328	0,0032493209	679,9736328	0,004527782556	679,9736328	0,006402380299	679,9736328	0,004165760241	679,9736328	0,00300220144	679,9736328	0,002625900088	679,9736328	0,002804331016
678,9595947	3,342128766E-4	678,9595947	0,003331429558	678,9595947	0,004378842656	678,9595947	0,006211882923	678,9595947	0,004377822857	678,9595947	0,002919451334	678,9595947	0,002516168868	678,9595947	0,002998630516
677,9452515	1,431730052E-4	677,9452515	0,003448307514	677,9452515	0,004432293121	677,9452515	0,006166641135	677,9452515	0,004334157333	677,9452515	0,003105746116	677,9452515	0,002512211213	677,9452515	0,00319163478
676,930542	4,614553764E-4	676,930542	0,003305736231	676,930542	0,004190354608	676,930542	0,00622096844	676,930542	0,004356355872	676,930542	0,002885182854	676,930542	0,002349359682	676,930542	0,002941472922
676,0605469	5,047848681E-4	676,0605469	0,003385873046	676,0605469	0,00440517487	676,0605469	0,005856089294	676,0605469	0,004153685644	676,0605469	0,003219329519	676,0605469	0,002797452733	676,0605469	0,002982809208
675,0452271	4,986427957E-4	675,0452271	0,003357150359	675,0452271	0,00447055418	675,0452271	0,006172181107	675,0452271	0,004607386421	675,0452271	0,003519101767	675,0452271	0,002534056082	675,0452271	0,003092553932
674,0296631	3,796023666E-4	674,0296631	0,003295120317	674,0296631	0,004357558209	674,0296631	0,006009080447	674,0296631	0,004100870807	674,0296631	0,002858187072	674,0296631	0,002760380507	674,0296631	0,002995711053
673,0137329	9,490832599E-5	673,0137329	0,003007180057	673,0137329	0,004232149571	673,0137329	0,005853544455	673,0137329	0,003926921636	673,0137329	0,00282024988	673,0137329	0,002282372909	673,0137329	0,002725239145
